Periods,Cash and balances with central banks,Due from financial institutions,Customer financing,Investments,Investment in associates,Investment and development properties,Other assets/ Property and Equipement/ Goodwill and Intangibles,Total assets,Due to financial institutions,Total deposits,Other liabilities,Total liabilities,Share capital ,Legal reserve,General reserve,Credit risk reserve,Retained earnings,Proposed dividends,Other reserves,Equity attributable to shareholders of the bank,Tier 1 sukuk,Non - controlling interest,Equity attributable to equity holders of the bank,Total liabilities and equity,Gross revenue from funds,Distribution to depositors,Funded income,Investment income,Fees and commission income,Foreign exchange income,Other income,Non-funded income,Revenues,Operating expenses,Provision for impairment,Net income before zakat and tax,Zakat and tax,Net income after zakat and tax,Non-controlling interest,Net income attributable to equity holders of the bank,Risk-Weighted Assets (RWA),"Customer financing, gross",Non-performing financing (NPA),Operating Income,Total Revenue,General and administrative expenses,Employees' costs  ,Depreciation   ,Amortisation of intangibles ,name
2017,21467.0,4891.0,76530.0,11579.0,989.0,1931.0,5892.0,123278.0,3689.0,100004.0,3012.0,106704.0,3168.0,2102.0,1716.0,400.0,3302.0,944.0,-743.0,10889.0,5673.0,11.0,16573.0,123278.0,4352.0,-582.0,3770.0,546.0,1030.0,270.0,16.0,1863.0,5632.0,-2509.0,-790.0,2333.0,-33.0,2300.0,-1.0,2299.0,"99,854","79,750","4,014",6214.294,"5,632.30",840.145,1446.329,167.901,54.793,ADIB
2018,18731.0,5250.0,78677.0,13667.0,1206.0,2233.0,5429.0,125194.0,4138.0,100404.0,2915.0,107457.0,3632.0,2641.0,1981.0,400.0,5152.0,31.0,-865.0,12971.0,4754.0,11.0,17736.0,125193.0,4621.0,-714.0,3907.0,525.0,1059.0,257.0,22.0,1863.0,5769.0,-2644.0,-620.0,2506.0,-5.0,2501.0,-1.0,2500.0,"99,391","81,559","3,951",6483.52,"5,769.50",842.13,1522.644,224.255,54.752,ADIB
2019,19823.0,3363.0,81108.0,12940.0,1281.0,2086.0,5385.0,125987.0,2461.0,101404.0,3018.0,106884.0,3632.0,2641.0,2250.0,400.0,5757.0,20.0,-362.0,14338.0,4754.0,11.0,19103.0,125987.0,4631.0,-813.0,3818.0,687.0,1083.0,318.0,9.0,2097.0,5915.0,-2653.0,-658.0,2604.0,-3.0,2601.0,-1.0,2600.0,"101,592","84,121","5,440",6728.422,"5,915.20",754.926,1529.67,313.703,54.752,ADIB
2020,19580.0,2420.0,83409.0,13809.0,1302.0,2024.0,5273.0,127816.0,3773.0,101276.0,3605.0,108654.0,3632.0,2641.0,2407.0,400.0,5671.0,0.0,-355.0,14396.0,4754.0,11.0,19162.0,127816.0,3827.0,-502.0,3324.0,791.0,992.0,223.0,27.0,2034.0,5358.0,-2450.0,-1314.0,1594.0,10.0,1604.0,-1.0,1603.0,"99,574","87,407","7,689",5860.523,"5,358.20",619.846,1508.212,267.19,54.752,ADIB
2021,21699.0,4530.0,88252.0,13691.0,1604.0,2003.0,5089.0,136868.0,3536.0,109611.0,3162.0,116309.0,3632.0,2641.0,2634.0,400.0,6741.0,0.0,-255.0,15793.0,4754.0,12.0,20559.0,136868.0,3675.0,-330.0,3345.0,994.0,958.0,248.0,14.0,2215.0,5560.0,-2260.0,-954.0,2345.0,-15.0,2330.0,-1.0,2329.0,"104,443","93,129","8,286",5889.51,"5,559.60",526.1,1438.767,240.416,54.752,ADIB
2022,24229.0,7441.0,107717.0,19432.0,776.0,1992.0,6930.0,168517.0,2834.0,138137.0,4086.0,145056.0,3632.0,2641.0,2976.0,400.0,8642.0,0.0,-565.0,17726.0,4754.0,980.0,23461.0,168517.0,5042.0,-891.0,4151.0,1471.0,1368.0,-168.0,12.0,2684.0,6835.0,-2387.0,-769.0,3680.0,-60.0,3619.0,-32.0,3587.0,"119,857","113,367","8,705",7726.037,"6,835.10",530.766,1540.896,271.553,43.505,ADIB
2023,23168.6,5613.87,104644.93,18206.93,1208.0,2000.13,6072.13,160914.6,2928.27,130288.47,3969.47,137185.93,3786.67,2820.67,3168.93,400.0,9015.6,0.0,-251.47,18623.07,4447.67,657.47,23729.13,160914.73,4338.8,-646.87,3691.67,1449.27,1211.27,-39.87,14.07,2635.8,6327.93,-2287.33,-1006.13,3034.53,-32.87,3001.0,-21.67,2979.33,115433.80,110496.93,10218.40,6974.6,6327.71,422.65,1517.73,299.53,47.24,ADIB
2024,23810.63,5889.5,109986.68,19355.68,1212.29,1987.36,6188.08,168430.2,2792.01,136521.55,4160.84,143474.1,3852.95,2897.67,3409.39,400.0,9912.2,0.0,-173.55,19843.32,4316.38,795.98,24956.79,168430.42,4333.31,-649.21,3683.81,1624.58,1248.3,-105.92,13.32,2781.46,6465.96,-2231.19,-1050.5,3184.3,-37.21,3146.29,-26.1,3120.19,120702.93,118828.29,11554.47,7158.16,6536.10,347.5,1503.62,291.75,44.5,ADIB
2025,24452.66,6165.12,115328.42,20504.42,1216.57,1974.59,6304.02,175945.8,2655.75,142754.64,4352.21,149762.28,3919.24,2974.67,3649.85,400.0,10808.8,0.0,-95.64,21063.58,4185.1,934.5,26184.45,175946.1,4327.83,-651.55,3675.95,1799.9,1285.32,-171.98,12.58,2927.11,6603.99,-2175.05,-1094.88,3334.08,-41.55,3291.57,-30.52,3261.05,126121.93,127529.29,12506.76,7455.62,6817.51,272.36,1506.52,282.53,41.41,ADIB
2026,25094.69,6440.75,120670.16,21653.16,1220.86,1961.82,6419.96,183461.4,2519.5,148987.72,4543.58,156050.45,3985.52,3051.67,3890.3,400.0,11705.4,0.0,-17.72,22283.84,4053.81,1073.01,27412.1,183461.79,4322.34,-653.9,3668.1,1975.21,1322.35,-238.04,11.84,3072.77,6742.02,-2118.9,-1139.25,3483.85,-45.9,3436.86,-34.95,3401.9,132065.07,135943.51,13367.37,7947.07,7210.90,197.21,1518.92,301.36,38.32,ADIB
2027,25736.71,6716.38,126011.9,22801.9,1225.14,1949.05,6535.9,190977.0,2383.24,155220.81,4734.95,162338.62,4051.81,3128.67,4130.76,400.0,12602.0,0.0,60.19,23504.1,3922.52,1211.52,28639.76,190977.48,4316.86,-656.24,3660.24,2150.52,1359.38,-304.1,11.1,3218.43,6880.05,-2062.76,-1183.62,3633.62,-50.24,3582.14,-39.38,3542.76,135988.05,143038.09,14587.82,8157.84,7389.03,122.07,1532.76,314.18,35.83,ADIB
2028,26378.74,6992.01,131353.65,23950.65,1229.43,1936.28,6651.85,198492.6,2246.98,161453.9,4926.32,168626.79,4118.1,3205.67,4371.22,400.0,13498.6,0.0,138.1,24724.35,3791.24,1350.04,29867.42,198493.16,4311.37,-658.58,3652.38,2325.84,1396.41,-370.15,10.35,3364.09,7018.08,-2006.62,-1227.99,3783.39,-54.58,3727.43,-43.81,3683.62,138624.93,148206.80,15804.63,8107.27,7422.79,46.92,1516.65,314.43,34.98,ADIB
2017,138111.0,138.0,330466.0,52067.0,88458.0,3536.0,39109.0,668968.0,30576.0,395844.0,76061.0,566759.0,10898.0,0.0,120.0,0.0,18678.0,7628.282,962.736,101722.0,10755.0,487.0,102209.0,668968.0,0.0,0.0,0.0,826.225,2898.0,928.0,472.0,,"19,533",4901.0,2087.0,9392.0,225.0,9167.0,54.0,9133.0,485340.823,330466,,16380.457,"19,533",1877.303,3422.654,374.101,159.156,FAB
2018,182909.0,19176.0,353205.0,46739.0,90434.0,3991.0,44275.0,744125.0,40267.0,465476.0,93740.0,642152.0,10898.0,0.0,228.265,0.0,17084.0,826.225,-37.477,101611.0,10755.0,362.0,101973.0,744125.0,0.0,0.0,0.0,826.225,3392.0,2042.0,159.0,,"19,446",5329.0,1726.0,12391.0,325.0,12066.0,33.0,12011.0,492372.688,353205,,19445.742,"19,446",1686.352,3167.377,235.586,201.663,FAB
